,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
51,dream theater,distance over time (bonus track version),10,3t99am9extvhnacrulgcwy,viper king (bonus track),spotify:track:3t99am9extvhnacrulgcwy,1.74e-05,0.442,0.952,0.00379,0.226,-4.764,0.231,99.93,0.412,34
52,dream theater,the astonishing,1,0osc5dksn1mram6md3taip,descent of the nomacs,spotify:track:0osc5dksn1mram6md3taip,0.357,0.323,0.225,0.974,0.111,-19.809,0.121,123.15,0.193,29
53,dream theater,the astonishing,2,1nlujlbh0yxor31zlvhk7k,dystopian overture,spotify:track:1nlujlbh0yxor31zlvhk7k,0.000974,0.272,0.819,0.851,0.375,-6.609,0.0338,113.29,0.195,36
54,dream theater,the astonishing,3,6inaxtjranhkbbwwgltslg,the gift of music,spotify:track:6inaxtjranhkbbwwgltslg,0.000302,0.49,0.963,0.00122,0.223,-5.166,0.0488,158.001,0.533,34
55,dream theater,the astonishing,4,19uq2b2qr5r2yonm9fijlx,the answer,spotify:track:19uq2b2qr5r2yonm9fijlx,0.697,0.527,0.493,0.0078,0.295,-9.123,0.0296,76.98,0.325,33
56,dream theater,the astonishing,5,6inseuplyrhdmjkflmtxhz,a better life,spotify:track:6inseuplyrhdmjkflmtxhz,0.0115,0.483,0.849,0.0,0.357,-6.479,0.0575,75.981,0.377,32
57,dream theater,the astonishing,6,6xi4djoydbqfe2xartam9b,lord nafaryus,spotify:track:6xi4djoydbqfe2xartam9b,0.00954,0.401,0.939,1.07e-05,0.378,-6.638,0.188,194.998,0.359,31
58,dream theater,the astonishing,7,5b8uuvvi3th3t1f5hsgmkw,a savior in the square,spotify:track:5b8uuvvi3th3t1f5hsgmkw,0.0247,0.251,0.53,0.00154,0.589,-8.196,0.0319,119.059,0.166,35
59,dream theater,the astonishing,8,7h40wjln6ycdwprjm92wim,when your time has come,spotify:track:7h40wjln6ycdwprjm92wim,0.003,0.203,0.739,9.16e-05,0.153,-7.358,0.0347,164.154,0.396,31
60,dream theater,the astonishing,9,4xn7zk5hzv9b0jwzofx6lm,act of faythe,spotify:track:4xn7zk5hzv9b0jwzofx6lm,0.283,0.406,0.316,7.4e-05,0.0812,-10.28,0.0305,127.032,0.0604,31
61,dream theater,the astonishing,10,3hehieia31xzex6uyvxaeb,three days,spotify:track:3hehieia31xzex6uyvxaeb,0.0118,0.301,0.916,3.69e-06,0.549,-6.226,0.112,160.039,0.391,30
62,dream theater,the astonishing,11,6jrleujar8bcmymlyosc20,the hovering sojourn,spotify:track:6jrleujar8bcmymlyosc20,0.04,0.384,0.71,2.45e-05,0.186,-11.378,0.154,128.793,0.115,0
63,dream theater,the astonishing,12,3ni3nyzqow6znf0ytgmv3m,"brother, can you hear me?",spotify:track:3ni3nyzqow6znf0ytgmv3m,0.147,0.477,0.553,0.000279,0.374,-9.927,0.0351,105.035,0.249,29
64,dream theater,the astonishing,13,2xkuzwr7stqkrstq7sbzbm,a life left behind,spotify:track:2xkuzwr7stqkrstq7sbzbm,0.00584,0.251,0.82,0.00105,0.108,-6.689,0.0335,158.359,0.507,30
65,dream theater,the astonishing,14,5qevyqkmyekihb1ngysfek,ravenskill,spotify:track:5qevyqkmyekihb1ngysfek,0.03,0.239,0.486,1.38e-05,0.316,-8.553,0.0306,83.88,0.116,29
66,dream theater,the astonishing,15,5k7jgzzjrutkioyuv4d5ah,chosen,spotify:track:5k7jgzzjrutkioyuv4d5ah,0.16,0.444,0.5,0.0026,0.114,-8.788,0.0297,134.844,0.133,31
